ft_equipment_id,ft_facility_code,ft_item_type,ft_library_id,ft_model_name,ft_manu_name,ft_serial_num,ft_power_source,ft_ref_gas_type,fi_cfc_free,fn_dimh_4deg,fn_diml_4deg,fn_dimw_4deg,fn_gross_volume_4deg,fn_net_volume_4deg,fn_dimh_20deg,fn_diml_20deg,fn_dimw_20deg,fn_gross_volume_20deg,fn_net_volume_20deg,fi_supply_year,fi_supply_source,fi_operating_cond,fi_work_status,fn_temp_high,fn_temp_low,fi_food,fi_tagged,fi_installation,ft_comment,fn_temp_monitor,fi_temp_none,fi_temp_dial,fi_temp_stem,fi_temp_30_visual,fi_temp_30_sms,fi_temp_number,ft_work_remarks,fn_not_work_spare_parts,fn_not_work_finance,fn_not_work_fuel,fn_not_work_boarded,fn_days_8,fn_days_2
R-000263,04036,URAC,NP0002,domestic fridge without freezer,domestic manufacturer,16874ACS400059F,E,Unknown,1,,,,103,30,,,,0,0,2009,,1,1,,,,0,,,4,,,,,,,,,,,,,
R-000630,06005,CREG,E321M,RCW 42 EG,Dometic,8350497,EG,NH3,1,,,,40,10.5,,,,1.6,0,2010,,1,1,,,,0,,,3,,,,,,,,,,,,,
R-000636,06017,URAC,NP0002,domestic fridge without freezer,domestic manufacturer,909NLUE00207,E,Unknown,1,,,,103,30,,,,0,0,2010,,1,1,,,,0,,,3,,,,,,,,,,,,,
R-000488,06028,URAC,NP0002,domestic fridge without freezer,domestic manufacturer,14DR4HA,E,Unknown,1,,,,103,30,,,,0,0,2006,,1,1,,,,0,,,3,,,,,,,,,,,,,
R-000487,06029,URAC,NP0002,domestic fridge without freezer,domestic manufacturer,008LPNB000743,E,Unknown,1,,,,103,30,,,,0,0,2011,,1,1,,,,0,,,3,,,,,,,,,,,,,
R-000637,06048,CREG,E321M,RCW 42 EG,Dometic,0080095,EG,NH3,1,,,,40,10.5,,,,1.6,0,2006,,1,1,,,,0,,,3,,,,,,,,,,,,,
R-000638,06053,CREG,E321M,RCW 42 EG,Dometic,92051,EG,NH3,1,,,,40,10.5,,,,1.6,0,2006,,1,1,,,,0,,,3,,,,,,,,,,,,,
R-000478,07005,CREG,E321M,RCW 42 EG,Dometic,920512,EG,NH3,1,,,,40,10.5,,,,1.6,0,2006,,1,1,,,,0,,,3,,,,,,,,,,,,,
R-000479,07011,URAC,NP0001,domestic fridge with freezer,domestic manufacturer,307KR00018,E,Unknown,1,,,,68.7,24,,,,7.75,0,2006,,1,1,,,,0,,,3,,,,,,,,,,,,,
R-000480,07011,ILR,E357M,MK 144,Vestfrost,20084016326,E,R134a,1,,,,94,45,,,,0,0,2009,,1,1,,,,0,,,2,,,,,,,,,,,,,
R-000481,07014,URAC,NP0001,domestic fridge with freezer,domestic manufacturer,902TRMF00211,E,Unknown,1,,,,68.7,24,,,,7.75,0,2008,,1,1,,,,0,,,2,,,,,,,,,,,,,
R-000482,07016,UREG,E384M,V 170 GE,Sibir,83600004,EG,NH3,1,,,,170,55,,,,47,36,2010,,1,1,,,,0,,,3,,,,,,,,,,,,,
